Timestamp,Consumption,Anomaly_Flag,Anomaly_Score,Severity,Hour_of_Day,Day_of_Week,Month
2024-01-01 00:00:00,1024.8357076505617,0,-0.4777586926035997,High,0,0,1
2024-01-01 01:00:00,1019.1121411587349,0,-0.47767583973244787,High,1,0,1
2024-01-01 02:00:00,1082.6713302453184,0,-0.46174273387697085,High,2,0,1
2024-01-01 03:00:00,1147.2925257649815,0,-0.47104241123063617,High,3,0,1
2024-01-01 04:00:00,1075.4686777324437,0,-0.4523121855428283,High,4,0,1
2024-01-01 05:00:00,1085.6029918406555,0,-0.46320004999662134,High,5,0,1
2024-01-01 06:00:00,1179.8213484346184,0,-0.47251072104090314,High,6,0,1
2024-01-01 07:00:00,1135.9684769030428,0,-0.46309682491069326,High,7,0,1
2024-01-01 08:00:00,1064.2764285388294,0,-0.45554027188307133,High,8,0,1
2024-01-01 09:00:00,1099.1297368053306,0,-0.4638684134857253,High,9,0,1
2024-01-01 10:00:00,1028.2636202528024,0,-0.4746003857350995,High,10,0,1
2024-01-01 11:00:00,1004.1733693732175,0,-0.4774889394412979,High,11,0,1
2024-01-01 12:00:00,1013.8195129560395,0,-0.4779741400477503,High,12,0,1
2024-01-01 13:00:00,880.3189285852643,0,-0.47589886874417375,High,13,0,1
2024-01-01 14:00:00,865.7623986940349,0,-0.46810014632499514,High,14,0,1
2024-01-01 15:00:00,903.3266796970788,0,-0.4519890784165392,High,15,0,1
2024-01-01 16:00:00,865.051080733732,0,-0.469333074775365,High,16,0,1
2024-01-01 17:00:00,921.558402800092,0,-0.45515311738872377,High,17,0,1
2024-01-01 18:00:00,857.1808554389412,0,-0.475105275543743,High,18,0,1
2024-01-01 19:00:00,835.5177306067312,0,-0.47380080171603367,High,19,0,1
2024-01-01 20:00:00,989.5488340552777,0,-0.4749845755424878,High,20,0,1
2024-01-01 21:00:00,921.0128790539512,0,-0.45494746212337067,High,21,0,1
2024-01-01 22:00:00,956.5322170908731,0,-0.46586792956709056,High,22,0,1
2024-01-01 23:00:00,906.1799260715602,0,-0.4546372602607655,High,23,0,1
2024-01-02 00:00:00,976.2235350049078,0,-0.4756162249244834,High,0,1,1
2024-01-02 01:00:00,1035.014134794478,0,-0.4713586814483767,High,1,1,1
2024-01-02 02:00:00,996.179849650278,0,-0.4760997275012749,High,2,1,1
2024-01-02 03:00:00,1093.368533361299,0,-0.46295766214822737,High,3,1,1
2024-01-02 04:00:00,1060.5869840193525,0,-0.4566448561882057,High,4,1,1
2024-01-02 05:00:00,1086.1676950213148,0,-0.4635135508548256,High,5,1,1
2024-01-02 06:00:00,1074.2178888757746,0,-0.4526597098755987,High,6,1,1
2024-01-02 07:00:00,1193.6531287329371,0,-0.5020808545574094,Critical,7,1,1
2024-01-02 08:00:00,1090.5177311238533,0,-0.4703946500414704,High,8,1,1
2024-01-02 09:00:00,1022.5585963954908,0,-0.4771896734455413,High,9,1,1
2024-01-02 10:00:00,1096.004120636938,0,-0.45909050171935006,High,10,1,1
2024-01-02 11:00:00,969.8600048416707,0,-0.4746566520918774,High,11,1,1
2024-01-02 12:00:00,1015.6068677956644,0,-0.4785287302578932,High,12,1,1
2024-01-02 13:00:00,881.4416799001325,0,-0.4767029689889109,High,13,1,1
2024-01-02 14:00:00,889.0411879881133,0,-0.4670494566184207,High,14,1,1
2024-01-02 15:00:00,944.726271132439,0,-0.4552736873369503,High,15,1,1
2024-01-02 16:00:00,956.0580702257364,0,-0.46555283630722843,High,16,1,1
2024-01-02 17:00:00,917.8565042301725,0,-0.4563318037968626,High,17,1,1
2024-01-02 18:00:00,900.2416468499696,0,-0.46023534387624926,High,18,1,1
2024-01-02 19:00:00,894.5196786316736,0,-0.46876243364542414,High,19,1,1
2024-01-02 20:00:00,845.7821880409892,0,-0.47051734500808845,High,20,1,1
2024-01-02 21:00:00,899.7513180505064,0,-0.4614795809580836,High,21,1,1
2024-01-02 22:00:00,933.5656433715689,0,-0.4605582048830645,High,22,1,1
2024-01-02 23:00:00,1033.7151606567227,0,-0.4739363282549836,High,23,1,1
2024-01-03 00:00:00,1024.0652368029723,0,-0.47707325827595704,High,0,2,1
2024-01-03 01:00:00,944.7575839934772,0,-0.45838198683093134,High,1,2,1
2024-01-03 02:00:00,1073.3752470324514,0,-0.45470253866460175,High,2,2,1
2024-01-03 03:00:00,1058.770970282683,0,-0.45657650021244,High,3,2,1
2024-01-03 04:00:00,1060.2142004071547,0,-0.45592646653832275,High,4,2,1
2024-01-03 05:00:00,1134.777507137405,0,-0.46135147732016446,High,5,2,1
2024-01-03 06:00:00,1159.2944323032325,0,-0.47323934394230577,High,6,2,1
2024-01-03 07:00:00,1151.0443868909197,0,-0.47112381802270575,High,7,2,1
2024-01-03 08:00:00,1052.6728005933273,0,-0.4608896130558272,High,8,2,1
2024-01-03 09:00:00,1063.4245296402244,0,-0.4572977521788311,High,9,2,1
2024-01-03 10:00:00,1074.8809716169865,0,-0.4525786232812414,High,10,2,1
2024-01-03 11:00:00,1083.120286366682,0,-0.46236797444042455,High,11,2,1
2024-01-03 12:00:00,984.6457347086417,0,-0.48377328169498185,High,12,2,1
2024-01-03 13:00:00,973.5829099314149,0,-0.47365569832334964,High,13,2,1
2024-01-03 14:00:00,903.5743267481348,0,-0.4523256453633309,High,14,2,1
2024-01-03 15:00:00,878.5133737252247,0,-0.47413980826066354,High,15,2,1
2024-01-03 16:00:00,963.2014367408285,0,-0.46694861293386875,High,16,2,1
2024-01-03 17:00:00,980.5404030292949,0,-0.48415445508107485,High,17,2,1
2024-01-03 18:00:00,905.8637715854697,0,-0.4534012587991774,High,18,2,1
2024-01-03 19:00:00,963.1916284960155,0,-0.46694861293386875,High,19,2,1
2024-01-03 20:00:00,941.2301107273865,0,-0.4572788697982806,High,20,2,1
2024-01-03 21:00:00,906.9274626112439,0,-0.454522265072244,High,21,2,1
2024-01-03 22:00:00,978.1071822521501,0,-0.4803465020537311,High,22,2,1
2024-01-03 23:00:00,1061.2005941425098,0,-0.45588568487487224,High,23,2,1
2024-01-04 00:00:00,1008.532631489153,0,-0.47915973951436586,High,0,3,1
2024-01-04 01:00:00,1114.581278549541,0,-0.4670728523752355,High,1,3,1
2024-01-04 02:00:00,929.6231884630897,0,-0.46549360437028625,High,2,3,1
2024-01-04 03:00:00,1122.5594939653336,0,-0.46507803672717696,High,3,3,1
2024-01-04 04:00:00,1101.8518258462682,0,-0.4617934998227849,High,4,3,1
2024-01-04 05:00:00,1092.6823829834934,0,-0.46650637280267154,High,5,3,1
2024-01-04 06:00:00,1115.7714368468958,0,-0.4693340517171864,High,6,3,1
2024-01-04 07:00:00,1008.5407593078141,0,-0.4794840421338405,High,7,3,1
2024-01-04 08:00:00,1087.0887869572584,0,-0.4644212313165293,High,8,3,1
2024-01-04 09:00:00,1100.1793603258982,0,-0.46260755556349786,High,9,3,1
2024-01-04 10:00:00,1135.6509625552474,0,-0.4629324725659828,High,10,3,1
2024-01-04 11:00:00,1011.867854553132,0,-0.4805343287344006,High,11,3,1
2024-01-04 12:00:00,971.6179753284993,0,-0.47252123886130454,High,12,3,1
2024-01-04 13:00:00,961.2160871048127,0,-0.467917178733923,High,13,3,1
